"tempSet";"tempActual";"timestamp"
54.0;54.5;10/26/17 5:13 AM
54.0;54.333;10/26/17 5:13 AM
54.0;54.02;10/26/17 5:13 AM
54.0;53.699;10/26/17 5:14 AM
54.0;53.2027;10/26/17 5:14 AM
54.0;52.81;10/26/17 5:14 AM
54.0;52.645;10/26/17 5:14 AM
54.0;52.449;10/26/17 5:15 AM
54.0;52.41;10/26/17 5:15 AM
54.0;52.338;10/26/17 5:15 AM
54.0;52.382;10/26/17 5:15 AM
54.0;52.6182;10/26/17 5:16 AM
54.0;52.9;10/26/17 5:16 AM
54.0;53.15;10/26/17 5:16 AM
54.0;53.377;10/26/17 5:16 AM
54.0;53.61;10/26/17 5:17 AM
54.0;53.788;10/26/17 5:17 AM
54.0;54.0;10/26/17 5:17 AM
54.0;54.116;10/26/17 5:17 AM
54.0;54.2255;10/26/17 5:18 AM
54.0;54.313;10/26/17 5:18 AM
54.0;54.4;10/26/17 5:18 AM
54.0;54.48;10/26/17 5:18 AM
54.0;54.5;10/26/17 5:19 AM
54.0;54.51;10/26/17 5:19 AM
54.0;54.599;10/26/17 5:19 AM
54.0;54.61;10/26/17 5:19 AM
54.0;54.61;10/26/17 5:20 AM
54.0;54.69;10/26/17 5:20 AM
54.0;54.72;10/26/17 5:20 AM
54.0;54.72;10/26/17 5:20 AM
54.0;54.66;10/26/17 5:21 AM
54.0;54.5;10/26/17 5:21 AM
54.0;54.45;10/26/17 5:21 AM
54.0;54.232;10/26/17 5:21 AM
54.0;53.9982;10/26/17 5:22 AM
54.0;53.488;10/26/17 5:22 AM
54.0;53.048;10/26/17 5:22 AM
54.0;52.755;10/26/17 5:22 AM
54.0;52.4918;10/26/17 5:23 AM
54.0;52.47;10/26/17 5:23 AM
54.0;52.371;10/26/17 5:23 AM
54.0;52.36;10/26/17 5:23 AM
54.0;52.495;10/26/17 5:24 AM
54.0;52.733;10/26/17 5:24 AM
54.0;53.014;10/26/17 5:24 AM
54.0;53.2727;10/26/17 5:24 AM
54.0;53.512;10/26/17 5:25 AM
54.0;53.71;10/26/17 5:25 AM
54.0;53.88;10/26/17 5:25 AM
54.0;54.02;10/26/17 5:25 AM
54.0;54.138;10/26/17 5:26 AM
54.0;54.28;10/26/17 5:26 AM
54.0;54.357;10/26/17 5:26 AM
54.0;54.39;10/26/17 5:26 AM
54.0;54.423;10/26/17 5:27 AM
54.0;54.5;10/26/17 5:27 AM
54.0;54.5;10/26/17 5:27 AM
54.0;54.58;10/26/17 5:27 AM
54.0;54.61;10/26/17 5:28 AM
54.0;54.687;10/26/17 5:28 AM
54.0;54.72;10/26/17 5:28 AM
54.0;54.72;10/26/17 5:28 AM
54.0;54.709;10/26/17 5:29 AM
54.0;54.566;10/26/17 5:29 AM
54.0;54.46;10/26/17 5:29 AM
54.0;54.22;10/26/17 5:29 AM
54.0;53.8545;10/26/17 5:30 AM
54.0;53.365;10/26/17 5:30 AM
54.0;52.9645;10/26/17 5:30 AM
54.0;52.689;10/26/17 5:30 AM
54.0;52.506;10/26/17 5:31 AM
54.0;52.371;10/26/17 5:31 AM
54.0;52.25;10/26/17 5:31 AM
54.0;52.25;10/26/17 5:31 AM
54.0;52.305;10/26/17 5:32 AM
54.0;52.541;10/26/17 5:32 AM
54.0;52.82;10/26/17 5:32 AM
54.0;53.106;10/26/17 5:32 AM
54.0;53.343;10/26/17 5:33 AM
54.0;53.58;10/26/17 5:33 AM
54.0;53.787;10/26/17 5:33 AM
54.0;53.9391;10/26/17 5:33 AM
54.0;54.072;10/26/17 5:34 AM
54.0;54.1709;10/26/17 5:34 AM
54.0;54.268;10/26/17 5:34 AM
54.0;54.33;10/26/17 5:34 AM
54.0;54.39;10/26/17 5:35 AM
54.0;54.39;10/26/17 5:35 AM
54.0;54.489;10/26/17 5:35 AM
54.0;54.5;10/26/17 5:35 AM
54.0;54.511;10/26/17 5:36 AM
54.0;54.599;10/26/17 5:36 AM
54.0;54.665;10/26/17 5:36 AM
54.0;54.72;10/26/17 5:36 AM
54.0;54.72;10/26/17 5:37 AM
